,0
0,0.5165612697601318
1,0.7171933054924011
2,0.6966898441314697
3,0.27595630288124084
4,0.4889713227748871
5,0.6728039979934692
6,0.7171936631202698
7,0.7325466275215149
8,0.46344754099845886
9,0.45887863636016846
10,0.7323987483978271
11,0.250374972820282
12,0.4889713227748871
13,0.7161084413528442
14,0.4090193808078766
15,0.4997221529483795
16,0.4796023666858673
17,0.6972452998161316
18,0.7162869572639465
19,0.7171933054924011
20,0.4796023666858673
21,0.6964754462242126
22,0.4460424482822418
23,0.23999619483947754
24,0.4460424482822418
25,0.5469282865524292
26,0.4442986845970154
27,0.6971613168716431
28,0.7337234020233154
29,0.49155163764953613
30,0.5368324518203735
31,0.7171933054924011
32,0.4997226297855377
33,0.49155163764953613
34,0.3756420910358429
35,0.437063068151474
36,0.6970236301422119
37,0.7171936631202698
38,0.49155163764953613
39,0.7337234020233154
40,0.6964754462242126
41,0.6971613168716431
42,0.5037438273429871
43,0.4584217369556427
44,0.6964751482009888
45,0.5382728576660156
46,0.7337236404418945
47,0.49316439032554626
48,0.7172544002532959
49,0.7336481809616089
50,0.49316439032554626
51,0.7337234020233154
52,0.5368330478668213
53,0.5037438273429871
54,0.6964754462242126
55,0.5469288229942322
56,0.49316439032554626
57,0.49316439032554626
58,0.6435991525650024
59,0.732836127281189
60,0.6130252480506897
61,0.5382728576660156
62,0.671474814414978
63,0.6144890189170837
64,0.4584217369556427
65,0.5037438273429871
66,0.7115059494972229
67,0.6970236301422119
68,0.7584291696548462
69,0.7337236404418945
70,0.6970236301422119
71,0.4584217369556427
72,0.6435991525650024
73,0.7323989272117615
74,0.5368330478668213
75,0.4584217369556427
76,0.49316439032554626
77,0.4584217369556427
78,0.5037438273429871
79,0.4584217369556427
80,0.5037438273429871
81,0.6093252897262573
82,0.6431605815887451
83,0.6714745163917542
84,0.6155620217323303
85,0.6970236301422119
86,0.7323989272117615
87,0.7570682168006897
88,0.6093252897262573
89,0.4460430145263672
90,0.733737051486969
91,0.5368330478668213
92,0.5368330478668213
93,0.6202670931816101
94,0.49155163764953613
95,0.49316439032554626
96,0.2514883577823639
97,0.6431605815887451
98,0.5382728576660156
99,0.5405797362327576
100,0.6431605815887451
101,0.6431605815887451
102,0.6971613168716431
103,0.49155163764953613
104,0.4584217369556427
105,0.49155163764953613
106,0.4584217369556427
107,0.6086376905441284
108,0.5037438273429871
109,0.6964754462242126
110,0.49316439032554626
111,0.5382728576660156
112,0.4584217369556427
113,0.49316439032554626
114,0.5368330478668213
115,0.7337236404418945
116,0.3598002791404724
117,0.4442986845970154
118,0.6086376905441284
119,0.4442986845970154
120,0.5368330478668213
121,0.671474814414978
122,0.7472206354141235
123,0.6093252897262573
124,0.645100474357605
125,0.49155163764953613
126,0.49155163764953613
127,0.7337236404418945
128,0.49316439032554626
129,0.49316439032554626
130,0.49155163764953613
131,0.5469288229942322
132,0.4460424482822418
133,0.48207375407218933
134,0.49155163764953613
135,0.6431605815887451
136,0.49316439032554626
137,0.40855810046195984
138,0.4460424482822418
139,0.49316439032554626
140,0.4442986845970154
141,0.49316439032554626
142,0.2612302899360657
143,0.4584217369556427
144,0.6970236301422119
145,0.5455377101898193
146,0.4584217369556427
147,0.4442986845970154
148,0.5455381870269775
149,0.49155163764953613
150,0.35562586784362793
151,0.6971613168716431
152,0.4460424482822418
153,0.49316439032554626
154,0.7331716418266296
155,0.45852866768836975
156,0.5037438273429871
157,0.4442986845970154
158,0.49155163764953613
159,0.49316439032554626
160,0.50374436378479
161,0.7171936631202698
162,0.4379955530166626
163,0.49155163764953613
164,0.44429919123649597
165,0.45842233300209045
166,0.5019070506095886
167,0.5469288229942322
168,0.5019070506095886
169,0.4460424482822418
170,0.4344831705093384
171,0.49155163764953613
172,0.2612302899360657
173,0.41311365365982056
174,0.6072215437889099
175,0.4584217369556427
176,0.732836127281189
