,Bedrooms,Bathrooms,Size,Crime,Transit,Shopping,Health,Entertainment,Community,Diversity,Schools,Employment,size*crime,size*transit,size*health,size*shopping,size*entertainment,size*community,size*diversity,size*school,size*employment,Rank
0,1.0,0.5,1.0,-0.13763440860215034,-0.050724637681159424,-0.0552423900789177,0.5772870662460567,-0.10540540540540541,-0.25083240843507215,-0.3477737665463298,-0.7553551296505073,0.04229607250755305,1.0,0.48164801595960227,1.0,0.060919652036245386,0.01878367495198137,-0.023441752786228,0.4112020528845088,-0.3709290832832222,0.6849676889287823,1.0
1,0.0,0.0,0.0,-1.8946236559139784,0.9492753623188406,0.9447576099210823,-2.04416403785489,0.8945945945945944,0.30410654827968925,-0.5679903730445247,0.12626832018038334,0.5740181268882176,-0.531726087797643,0.6114912253358686,-0.3041903046746243,0.4209190818238078,0.36372892363066667,0.11528139023768366,-0.2723385564114594,0.06333161209198801,0.09610147694484952,0.0
2,-1.0,-0.5,-1.0,-1.756989247311828,1.0,1.0,-2.621451104100947,1.0,0.5549389567147615,-0.22021660649819497,0.8816234498308907,0.5317220543806646,-1.531726087797643,0.12984320937626634,-1.3041903046746244,0.3599994297875624,0.34494524867868526,0.13872314302391167,-0.6835406092959682,0.4342606953752102,-0.5888662119839327,0.0
3,0.5,0.0,0.0,-1.9698924731182794,0.20434782608695654,0.7463359639233369,-1.823343848580442,0.8081081081081082,0.749167591564928,-0.025270758122743788,-0.18376550169109362,1.0,-0.5528502797078785,0.13163398896543127,-0.27133024089804453,0.3325160288393326,0.32856479808329103,0.2839961255855346,-0.012116757806442197,-0.09217011402673246,0.16741888878286945,1.0
4,-0.5,-0.5,-1.0,-1.832258064516129,0.255072463768116,0.8015783540022547,-2.4006309148264986,0.9135135135135136,1.0,0.32250300842358604,0.5715896279594137,0.9577039274924469,-1.5528502797078787,-0.350014026994171,-1.2713302408980445,0.27159637680308724,0.3097811231313096,0.3074378783717626,-0.42331881069095095,0.2787589692564898,-0.5175488001459129,1.0
5,0.5,0.0,0.0,-0.07526881720430108,-0.744927536231884,-0.1984216459977453,0.22082018927444805,-0.08648648648648637,0.4450610432852386,0.542719614921781,-0.31003382187147693,0.42598187311178237,-0.021124191910235533,-0.4798572363704373,0.032860063776579775,-0.08840305298447515,-0.035164125547375615,0.16871473534785092,0.2602217986050172,-0.15550172611872048,0.07131741183801993,1.0
6,0.0,0.0,0.08333333333333333,-1.9698924731182794,0.20434782608695654,0.7463359639233369,-1.823343848580442,0.8081081081081082,0.749167591564928,-0.025270758122743788,-0.18376550169109362,1.0,-0.552144964452111,0.20192481531124343,-0.2547944110462479,0.3992644259553994,0.39570831827496195,0.3532523377483583,0.061861062333056084,-0.04364810023099881,0.2506769999045825,1.0
7,-1.0,-0.5,-0.9166666666666666,-1.832258064516129,0.255072463768116,0.8015783540022547,-2.4006309148264986,0.9135135135135136,1.0,0.32250300842358604,0.5715896279594137,0.9577039274924469,-1.5521449644521113,-0.2797232006483588,-1.254794411046248,0.33834477391915396,0.37692464332298053,0.3766940905345863,-0.3493409905514527,0.3272809830522234,-0.43429068902419987,0.0
8,0.0,0.0,0.08333333333333333,-0.07526881720430108,-0.744927536231884,-0.1984216459977453,0.22082018927444805,-0.08648648648648637,0.4450610432852386,0.542719614921781,-0.31003382187147693,0.42598187311178237,-0.020418876654468072,-0.4095664100246251,0.04939589362837642,-0.0216546558684084,0.03197939464429529,0.23797094751067463,0.3341996187445154,-0.10697971232298682,0.15457552295973292,1.0
9,-0.5,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007053152557674635,0.07029082634581216,0.016535829851796646,0.06674839711606675,0.0671435201916709,0.0692562121628237,0.07397782013949829,0.04852201379573365,0.083258111121713,0.0
