0.994017363,Annex
0.993507624,Little Portugual
0.991965532,Church-Yonge corridor
0.983615339,Kensington-Chinatown
0.981323123,East end Danforth
0.979411542,Trinity Bellwoods
0.973725989,Bay st corridor
0.9728055,Palmerston-Little Italy
0.958112667,University
0.957284093,The Beaches
0.956771374,Moss park
0.944191933,Corsa Italia-Davenport
0.940134645,Weston-Pellam Park
0.939302683,Cabbagetown-South St. James Town
0.933401883,Playter Estates-Danforth
0.933272541,Mount pleasant west
0.931600094,Danforth village - toronto
0.931161225,Roncesvalles
0.92933625,wychwood
0.905439079,greenwood coxwell
0.904538989,Dovercourt-Wallace Emerson-Junction
0.902490735,woodbine corridor
0.897281229,Runnymede-Bloor West Village
0.889448822,North riverdale
0.875521421,Junction area
0.873811305,Dufferin Grove
0.861749351,High park north
0.861266553,Mount pleasant east
0.854834914,Yonge-Eglinton
0.848155558,lawrence park north
0.846130908,Blake Jones
0.839791477,Oakwood-Vaughan
0.821978033,waterfront communities-the island
0.818400621,North st.james town
0.815555274,south parkdale
0.809444666,yonge st.clair
0.801364541,weston
0.770186722,rosedale moore park
0.769014239,regent park
0.761752248,old east york
0.761349916,Danforth village east york
0.760887682,Thorncliffe Park
0.750744283,chescent town
0.750114083,Leaside-Bennington
0.750114083,lansing-westigate
0.746563673,south riverdale
0.744730532,Humewood-Cedarvale
0.743121147,Yorkdale-Glen park
0.741034091,casa loma
0.740373254,Caledonia-Fairbanks
0.737397134,Niagara
0.732712448,Keelesdale-Eglinton West
0.729978502,high park swansea
0.724121153,bedford park nortown
0.720184624,Wexford/Maryvale
0.713851154,Long Branch
0.712610126,New toronto
0.697832882,Glenfield Jane heights
0.695541203,Forest hill north
0.687988639,willowdale east
0.686477125,willowdale west
0.681906521,black creek
0.679261386,O'Connor-Parkview
0.678807616,oakridge
0.678802013,Briar Hill Belgravia
0.671874464,Agincourt South-Malvern West
0.652464092,Newtonbrook west
0.645950913,stonegate-queensway
0.63313067,Clairlea-Birchmount
0.631736815,Birchcliffe-Cliffside
0.630450428,Mimico
0.627958655,Flemingdon park
0.614312887,dorset park
0.61374855,L'Amoureaux
0.611769259,Bendale
0.603379369,Kennedy park
0.596916199,Rockcliffe-Smythe
0.583893478,Hillcrest village
0.583640456,Milliken
0.581192553,Englemount-Lawrence
0.581035912,Eglinton east
0.578175843,Lawrence park south
0.575628519,Banbury-Don Mills
0.572799683,kingsway south
0.572408497,woodbine-lumsden
0.571028352,York university heights
0.564792633,Malvern
0.564282656,Brookhaven-Amesbury
0.560926378,Tam O'Shanter-Sullivan
0.556998074,Newtonbrook east
0.552364647,Scarborough village
0.550030172,Islington city center west
0.546812773,pleasant view
0.537172854,Don-valley village
0.525354624,woburn
0.50315243,Humbermede
0.498494059,steeles
0.493635565,victoria village
0.489424169,Agincourt North
0.488709867,Mount Olive-Silverstone-Jamestown
0.485172302,Westminster-Branson
0.465307117,Parkwoods-Donalda
0.46289748,Downsview-Roding-CFB
0.45118168,Humber Summit
0.430783004,Bathurst Manor
0.424874932,West Humber-Clairville
0.406630218,west hill
0.378259271,Rouge
0.357147962,Rustic
0.317016214,st.andrew windfields
0.266159952,Alderwood
0.24199529,Clanton park
0.228987172,Ionview
0.218883619,Broadview North
0.200924248,Mount-Dennis
0.155680954,Eringate-Centennial-West Deane
0.146380097,Beechborough-Greenbrook
0.145695582,Humber-Heights Westmount
0.137207404,Willowridge-Martingrove-Richview
0.131394967,Forest hill south
0.082992919,Henry farm
0.06879802,Rexdale-Kipling
0.061515614,Highland greek
0.061248068,Thistletown-Beaumond Heights
0.045318879,kingsview-village The westway
0.0403063,Centennial Scarborough
0.031922806,Etobicoke west mall
0.027288651,Pelmo Park-Humberlea
0.024710143,Edenbridge-Humber Valley
0.022574551,Maple lEAF
0.01884971,Bayview woods - steeles
0.018271659,Markland woods
0.017052133,Cliffcrest
0.016895577,Lambton Baby point
0.014646729,Bayview village
0.012023681,Morningside
0.011137668,Elms-old Rexdale
0.010167603,princess-rosethron
0.009305712,Bridle Path-Sunnybrook-York Mills
0.009268885,Guildwood
