78.9,81.7,59.2,93.7,94.4,83.8,30.3,84.5,94.4,0.626345515
50.7,71.1,80.3,81.7,93.7,96.1,38,95.8,86.6,0.746863186
42.3,95.1,81.7,38.7,80.8,81,52.8,72.5,87.3,0.804308057
76.1,92.3,94.4,76.1,67.6,93,41.5,39.4,84.5,0.806290507
81.7,68.3,86.6,88,70.4,95.8,2.8,90.1,71.8,0.829414368
4.2,96.5,97.2,14.1,79.6,58.5,31.7,78.9,84.5,0.9413836
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93,0.756976545
14.1,80.3,95.8,20.4,91.5,69.7,47.9,52.8,95.8,0.883612514
66.2,85.2,89.4,74.6,76.1,53.5,3.5,47.2,97.9,0.795749962
56.3,97.2,90.8,45.1,66.2,96.5,52.1,58.5,53.5,0.854700625
85.2,66.9,67.6,75.4,52.1,90.1,21.8,85.9,76.8,0.72396946
95.1,93.7,63.4,95.8,19,78.9,51.4,86.6,55.6,0.558784127
52.8,65.5,76.1,50.7,81.7,86.6,11.3,81.7,79.6,0.840192616
59.2,87.3,95.1,18.3,96.5,59.9,0.7,82.4,48.6,0.948964059
73.2,75.4,68.3,85.2,38,89.4,26.8,83.8,78.2,0.706037402
51.4,88,92.3,51.4,95.8,81,13.4,54.2,54.2,0.897527993
39.4,73.9,88,33.1,97.9,61.3,9.9,64.8,73.2,0.898093104
70.4,81.7,85.9,76.1,88.7,97.2,1.4,50.7,50,0.866577387
7,85.2,96.5,33.1,63.4,88,7.7,69,80.3,0.961952209
48.6,59.2,43,86.6,43.7,83.1,35.9,98.6,90.1,0.629421175
35.9,78.2,73.2,22.5,83.8,57,47.2,62,70.4,0.736574054
49.3,88,79.2,45.6,98.6,95.1,19,31,45.1,0.864343345
4.9,89.4,98.6,26.1,88,73.9,21.8,19,89.4,0.912677526
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6,0.76688695
73.2,52.1,28.2,90.8,63.4,93.7,40.8,88.7,70.4,0.582918823
60.6,86.6,84.5,68.3,79.6,92.3,7.7,33.8,55.6,0.855013132
55.6,79.6,88,55.6,90.1,75.4,9.2,45.8,50.7,0.863527536
36.6,73.9,87.3,40.8,90.8,85.9,4.2,71.8,43.7,0.921981871
71.8,80.3,77.5,69.7,85.2,88.7,6.3,61.3,29.6,0.809203207
52.1,76.1,54.2,40.1,89.4,94.4,27.5,74.6,31,0.724229693
44.4,98.6,75.4,8.5,83.1,85.2,86.6,12.7,33.1,0.711892128
87.3,83.1,62.7,64.5,40.8,90.8,29.6,0.7,88.7,0.702730417
45.1,93.7,76.8,25.4,31,76.1,50,39.4,68.3,0.758999825
62.7,43.7,38,79.6,72.5,83.8,14.8,91.5,62.7,0.612888575
40.8,9.2,22.5,66.2,76.8,38,83.8,93,90.8,0.413388759
88.7,45.1,16.2,95.8,51.4,71.8,16.2,88,77.5,0.532655299
73.2,93,77.5,57.7,74.6,62.7,19.7,10.6,45.8,0.73118335
31.7,18.3,71.8,62,62,54.9,34.5,76.8,88,0.658451676
54.9,62.7,11.3,81,11.3,0.7,85.9,95.1,83.8,0.168945745
33.1,90.8,91.5,38,93,66.9,27.5,23.9,23.2,0.833043396
19,23.9,69.7,35.9,75.4,26.8,58.5,73.9,78.2,0.568055093
65.5,47.2,47.9,52.1,50.7,12.7,47.9,94.4,55.6,0.414548218
